,account_id,amount_usd
0,550385,-7620617.070934713
1,550406,-161919461.65844727
2,661926,2715226.9530878067
3,693819,-526.0679947965546
4,751280,-103352560.64491272
5,777808,6796234.28611958
6,777809,1917176.1904988885
7,777818,-5778348.305799484
8,784028,-5184090.962621689
9,784031,378450.08469355106
10,1107813,0.0
11,1107814,-143071.08560964465
12,1107815,908140.5258197188
13,1107816,-146315.97990941908
14,1107817,0.0
15,1107818,-80241.41014456749
16,1107819,-3209.2148779223207
17,1107820,-227293.26904832944
18,1107835,389.095938325976
19,1107836,0.0
20,1107839,0.0
21,1107840,0.0
22,1107842,0.0
23,1107978,17602011.34609127
24,1107980,0.0
25,1107981,-111.59329036937561
26,1107982,0.0
27,1107984,0.0
28,1108147,-3190480.859352112
29,1108148,0.0
30,1108149,104890.16927850246
31,1108150,-150149.06844310276
32,1108151,4.937012819877964
33,1108152,-2592.9460541829467
34,1108153,4.336260852360283
35,1108154,-519.7768568694592
36,1108155,-16020.431217872072
37,1108281,0.0
38,1108282,0.0
39,1108283,59.5587329604532
40,1108285,0.0
41,1108286,6570.648584205657
42,1108287,166.04950014024507
43,1108288,0.0
44,1108304,-3543368.146645546
45,1108316,-473292.7453019619
46,1108337,-4707.642717339098
47,1108341,-590.0185806988738
48,1109811,0.0
49,1230626,0.0
50,1264959,0.0
51,1264962,0.0
52,1265158,182135.6007964015
53,1265159,7.2656918279244564
54,1265160,0.0
55,1265161,0.0
56,1265327,-797232.7570419312
57,1265328,178966.80504643917
58,1266785,-706009.9156479836
59,1266972,-1301111.042386055
60,1266973,-1357297.9069592291
61,1267036,-142459.64201381803
62,1267038,-309.40313808165956
63,1267101,20278.943427711725
64,1267227,-1035.1370715240482
65,1267290,78.89188196473697
66,1267416,-45327.99948100187
67,1267417,2983734.302422166
68,1267418,-3924461.836982727
69,1267482,0.0
70,1267483,-420736.53393650055
71,1267505,0.0
72,1269978,10256750.724311829
73,1269979,70.96381840981485
74,1269980,14645286.535491943
75,1269981,935556.2402473874
76,1287102,5384288.761091232
77,1287104,83518505.65047455
78,1287176,66830.35754871368
79,1287178,-292.6277568832156
80,1289971,-399.63675731333205
81,1289972,68020.37479829788
82,1297424,324956.07218921185
83,1297425,122467.99339982867
84,1433285,134542.81312686205
85,1452317,-950377.095849514
86,1495511,0.0
87,1495512,-2293.923669548938
88,1495519,-374.6895314557187
89,1570210,0.0
90,1631941,-152853.10424992442
91,1631947,0.0
92,1631948,0.0
93,1631956,3006.256234684959
94,1739731,-12508.031267270446
95,1740437,42951527.3417778
96,1834354,129756138.86512756
97,1835832,-16834.55939764902
98,2059087,-99353.41129915416
99,2059313,-923197.9164966941
100,2290381,8005715.411058903
101,2350376,9.103700440527973
102,2484705,-17905.17980041355
103,2484706,-55568.37717586756
104,2586961,17938.367169559002
105,2586962,15259.406780093908
106,2586963,24564.025493361056
107,2586964,-3015.939033816103
108,2586965,-2941.403182640206
109,2586966,-25837.230152789503
110,2729759,-150790.43278716505
111,2729763,-3627795.4491701126
112,2729765,-2667298.080721855
113,2729766,-4006167.060546875
114,2729767,-698631.2365480661
115,2821164,-805.5997991838376
116,2837702,-5192.927101602778
117,2968165,15820.95926657319
118,2968174,1454350.716759771
119,2968183,437526.6848260164
120,2968192,36247.68766383082
121,3102197,-192.17962265884853
122,3169156,-7821.514161858708
123,3169157,0.747238459318396
124,3169158,1.617554241198377
125,3274874,-87526.72058281302
126,3283940,-148074.09871387482
127,3291608,1201.3146993406117
128,3301816,-332882.1650009155
