,account_id,amount_usd
0,550385,201667.09038759023
1,550406,201691.41689565405
2,661926,201694.4023720678
3,693819,201658.47049036622
4,751280,201691.45342080295
5,777808,201638.68199913204
6,777809,201617.1398166418
7,777818,201698.11126489565
8,784028,201641.81618249416
9,784031,201680.69791788608
10,1107813,201696.6634287536
11,1107814,201670.67950511724
12,1107815,201696.0999895949
13,1107816,201688.939573545
14,1107817,201690.04504129663
15,1107818,201651.24409756064
16,1107819,201600.3459185958
17,1107820,201709.88808544725
18,1107835,201681.7772089541
19,1107836,201708.00638209004
20,1107839,201762.7449592799
21,1107840,201690.76291157305
22,1107842,201686.48395168036
23,1107978,201694.33957141265
24,1107980,201700.24674290232
25,1107981,201697.8518648995
26,1107982,201700.87263891147
27,1107984,201678.08029478788
28,1108147,201695.38022358343
29,1108148,201632.9455486536
30,1108149,201699.25686293654
31,1108150,201711.26936944574
32,1108151,201742.23239401728
33,1108152,201674.99373035878
34,1108153,201734.71884696186
35,1108154,201705.43260078784
36,1108155,201669.36397513747
37,1108281,201705.3959930353
38,1108282,201803.63234764338
39,1108283,201691.9389643371
40,1108285,201681.19093723968
41,1108286,201669.8712334782
42,1108287,201673.7930669859
43,1108288,201641.57487420738
44,1108304,201701.35078922985
45,1108316,201708.715752488
46,1108337,201820.77661464363
47,1108341,201745.70631486177
48,1109811,201715.77718144655
49,1230626,201642.40955887735
50,1264959,201770.6822065115
51,1264962,201663.58534021676
52,1265158,201616.4704901576
53,1265159,201735.6474840492
54,1265160,201685.88596759737
55,1265161,201700.1055057384
56,1265327,201701.7116176514
57,1265328,201701.38817568216
58,1266785,201699.055333402
59,1266972,201675.28678248078
60,1266973,201693.3869641777
61,1267036,201687.74064069986
62,1267038,201680.60776749998
63,1267101,201729.55751104653
64,1267227,201703.87003986072
65,1267290,201699.5791427968
66,1267416,201658.07189094275
67,1267417,201691.2467034571
68,1267418,201683.06676140428
69,1267482,201669.04826170206
70,1267483,201648.17656441033
71,1267505,201726.82258773968
72,1269978,201714.7634437345
73,1269979,201697.2753634248
74,1269980,201690.55666344613
75,1269981,201684.63943845034
76,1287102,201754.8601257652
77,1287104,201723.83763108775
78,1287176,201855.69571520388
79,1287178,201804.32507732327
80,1289971,201672.20515767485
81,1289972,201672.17633767426
82,1297424,201670.26595576108
83,1297425,201714.86307355016
84,1433285,201630.94565606117
85,1452317,201686.1983648166
86,1495511,201700.9962554709
87,1495512,201815.27166832614
88,1495519,201682.41482016072
89,1570210,201740.53688722104
90,1631941,201686.78153304756
91,1631947,201657.59724656492
92,1631948,201683.33456170186
93,1631956,201696.6470302306
94,1739731,201682.6927350685
95,1740437,201669.84595502168
96,1834354,201700.4823715277
97,1835832,201716.3225949034
98,2059087,201693.50448843464
99,2059313,201720.81252226979
100,2290381,201680.578012079
101,2350376,201748.0725826174
102,2484705,201750.5619307365
103,2484706,201710.2884487044
104,2586961,201752.00039738926
105,2586962,201749.02247557786
106,2586963,201766.93121208248
107,2586964,201748.0588176511
108,2586965,201749.1082591321
109,2586966,201740.25784021613
110,2729759,201751.78547880426
111,2729763,201751.03534924984
112,2729765,201749.98287707195
113,2729766,201743.29658525437
114,2729767,201752.10290368274
115,2821164,201746.3084663935
116,2837702,201733.67188225687
117,2968165,201866.61489582062
118,2968174,201806.27773017064
119,2968183,201790.35376882553
120,2968192,201859.04193063336
121,3102197,201808.90082860924
122,3169156,201861.39693059772
123,3169157,201838.03127668798
124,3169158,201853.98058491107
125,3274874,201857.27296644007
126,3283940,201860.288832061
127,3291608,201864.0958103612
128,3301816,201904.4299611803
